Name,Start-Date,End-Date
Artist Talk - Wapikwanew: Blossom (Floraison),23/06/2017,23/06/2017
Puccini Messa Di Gloria ,08/06/2018,08/06/2018
The Carleton Cup,27/01/2018,28/01/2018
david lidbetter - whiteout,23/09/2017,30/09/2017
Genticorum - cd release concert,10/03/2018,10/03/2018
FOPLA Mammoth Book sale,21/07/2018,21/07/2018
So Long Seven,10/06/2017,10/06/2017
Epic Walk,16/09/2017,16/09/2017
Cuarteto Casals,04/03/2019,04/03/2019
Series Dance 10 # 28 - Laurie Young / Face 2 Face,25/10/2017,28/10/2017
Hotter Than Potter,12/06/2017,18/06/2017
The New Art Festival,09/06/2018,10/06/2018
Pro Organo: Organist Pascale Rouet in concert,30/09/2018,30/09/2018
Drew Mosley - A Rebellious Nature,04/11/2017,26/11/2017
Musical Theatre Karaoke,08/12/2018,08/12/2018
A Streetcar Named Desire,21/03/2018,07/04/2018
The Unexpected Guest,11/07/2018,28/07/2018
Linnebach and Bartók,10/01/2018,11/01/2018
Canadiana: Selections from the Art Bank Collection,25/05/2018,01/07/2018
Hillsburn,23/02/2019,23/02/2019
The Check (Panama) - Latin American Film Festival,27/04/2017,27/04/2017
Treasure Island,16/05/2017,27/05/2017
Ottawa Dance Collective's Year-End Showcase:  In The News,13/05/2017,13/05/2017
Ottawa Italian Festival 2017,16/06/2017,18/06/2017
Diane Laundy: Kaleidos,23/08/2018,18/09/2018
Elves at the Estate,01/12/2018,01/12/2018
Third Annual West End Food Truck Rally,12/08/2017,12/08/2017
Nipiit Katittut Voices United in Concert,02/07/2017,02/07/2017
Spring Concert,09/06/2018,09/06/2018
Ensemble Variances,12/11/2017,12/11/2017
Ta Da! Arts Alive! Quebec Festival,08/09/2017,10/09/2017
The 37th Ottawa Antiquarian Book Fair,22/10/2017,22/10/2017
SOCA BOAT 150,30/06/2017,01/07/2017
Dueling Magicians,26/10/2018,26/10/2018
Synaesthesia - Rob Snikkar - Paintings of music in its from and feeling,15/06/2017,17/07/2017
Kim Mitchell,10/11/2017,10/11/2017
Food for Thought Lecture: Have your ale and eat it too: Beer as an agricultural product ,27/03/2018,27/03/2018
Poland: Marie Sklodowska-Curie (Marie Curie: The Courage of Knowledge)(EUFF 2017),19/11/2017,19/11/2017
Emily Brown and The Thing,16/02/2019,16/02/2019
CreActivity Club - Bird Feeder,05/05/2018,05/05/2018
